Exon	IJC1	SJC1	IJC2	SJC2	IncFormLen	SkipFormLen
49579	939,962,882	0,0,2	1,2,2	0,0,0	128	42
49988	1953,2139,1995	75607,72520,73294	4428,3628,4349	36659,31174,31785	24	80
49993	432,399,410	1928,2118,1971	149,162,186	4368,3585,4310	14	15
50176	146,115,140	17,35,23	144,115,108	89,81,96	154	86
51824	402,476,455	315,323,294	276,144,197	366,303,334	106	86
52081	563,542,602	412,429,445	1398,1319,1544	155,171,187	54	76
52147	23,47,47	19,15,27	152,98,117	8,8,6	70	38
52148	20,37,42	75,58,77	132,88,103	37,47,47	118	86
52182	1725,1656,1646	11,6,8	990,663,790	94,73,86	168	82
52190	9,12,13	11,6,8	14,10,10	94,73,86	168	82
52239	293,300,253	401,378,390	641,598,568	220,248,252	172	86
52526	49,71,42	12,11,8	155,159,147	0,2,2	154	86
53167	19,23,36	59,85,86	19,12,15	227,223,193	36	62
54226	25,36,21	0,0,0	15,11,14	14,7,3	167	81
54227	819,791,870	0,3,0	451,448,426	234,216,207	172	86
54313	414,452,370	0,3,1	208,150,148	28,29,18	172	86
54330	729,881,709	21,20,12	831,699,785	323,217,285	172	86
54880	222,219,225	53,38,59	137,96,110	183,112,93	56	60
54882	536,572,588	53,38,59	350,264,272	183,112,93	62	60
54962	156,245,204	152,175,154	349,345,289	113,124,101	94	80
55047	164,236,205	384,413,416	640,605,613	567,456,604	86	86
55075	4,20,11	29,37,48	2,2,2	0,0,0	172	86
55145	50,45,46	15,18,18	20,31,60	81,82,59	132	64
55309	266,227,287	62,64,66	19,14,12	615,495,435	28	86
55328	69,46,45	263,264,263	147,144,136	141,159,131	172	86
55329	43,27,23	480,489,486	98,83,61	213,202,163	172	86
55530	2105,2478,2248	270,295,232	2179,1713,1791	580,571,574	172	86
56047	304,292,290	238,258,230	298,226,260	577,568,614	46	86
56121	107,107,96	13,6,9	9,3,5	9,14,12	130	86
56130	1486,1616,1454	841,921,805	249,195,222	1559,1384,1629	107	63
56155	516,539,493	841,921,805	132,127,102	1559,1384,1629	149	63
56157	114,140,127	106,107,96	75,65,44	6,1,5	154	68
56365	1074,939,978	134,175,127	983,785,783	3,1,5	149	63
56370	26,12,20	622,570,576	96,68,102	339,274,296	81	79
57156	92,78,84	81,63,72	79,67,102	22,18,33	26	18
57523	24,34,23	8,10,6	17,18,17	23,22,21	172	86
57663	2,6,6	3,5,0	696,623,625	4,2,1	140	54
57671	218,239,232	47,47,50	529,440,464	32,18,15	129	43
57681	157,204,197	20,24,18	631,560,522	13,10,11	129	43
57682	109,97,112	47,47,50	334,309,273	32,18,15	129	43
58437	227,204,189	27,22,26	287,193,168	0,0,0	172	86
59256	428,399,446	922,856,978	29,30,26	1547,1393,1570	172	86
59684	528,586,604	75,93,83	1587,1390,1533	969,959,934	111	59
59743	173,256,264	36,37,26	50,40,48	148,131,143	104	48
60354	507,494,447	401,399,386	425,433,453	677,736,817	94	86
60360	292,279,282	118,146,121	460,465,557	52,65,65	58	86
61379	141,165,127	88,106,82	111,133,111	220,240,230	172	86
61720	104,116,118	28,19,27	80,74,118	134,140,141	37	59
62070	244,201,218	23,24,31	195,171,130	163,174,152	172	86
62205	284,403,294	689,813,753	16,11,17	562,510,478	40	86
62827	121,86,90	88,88,108	567,454,529	105,93,98	148	74
62828	98,53,60	527,461,455	340,271,316	86,83,81	136	62
62838	143,125,166	527,461,455	279,247,219	86,83,81	136	62
63075	300,347,303	286,269,271	164,131,125	283,256,245	20	17
63569	1554,1739,1783	3009,3286,3412	3617,3098,3061	1935,1772,1875	34	86
64201	752,887,728	28,37,26	339,364,322	105,113,107	160	74
64449	667,652,655	197,214,247	42,27,34	872,730,841	72	46
65037	121,153,127	123,131,131	79,50,59	287,216,188	10	86
65823	107,108,107	14,14,9	208,207,219	0,0,0	134	48
65914	147,129,133	109,86,97	117,87,81	191,208,212	82	86
65923	144,122,132	109,86,97	101,68,71	191,208,212	133	47
66037	22,14,14	24,13,14	37,31,21	4,5,3	26	20
66165	888,932,835	74,73,64	1425,1303,1423	22,20,30	113	27
66662	408,427,346	394,414,345	177,129,111	377,304,262	49	41
66824	80,55,74	191,188,197	348,305,283	328,306,289	172	86
67250	273,244,236	87,89,89	23,19,16	423,435,433	172	86
67795	145,118,134	28,35,48	162,135,134	7,7,9	172	86
67967	524,616,470	40,26,22	320,262,280	67,50,55	146	60
68137	120,100,83	2,9,10	121,119,149	42,62,48	154	86
68742	1086,1124,1078	684,716,644	862,737,712	273,213,223	172	86
68810	2,2,4	4,0,2	7,5,4	297,265,318	172	86
68823	31,13,16	288,284,296	671,565,578	43,41,51	172	86
68824	27,13,14	3,4,1	374,301,262	0,0,0	172	86
68863	487,501,454	273,303,274	303,327,305	742,696,782	58	86
69444	233,222,263	133,132,112	288,241,237	39,40,45	172	86
69448	567,551,595	133,132,112	703,610,581	39,40,45	160	86
69752	55,61,53	6,10,12	47,58,53	56,58,80	123	37
70002	314,313,280	15,11,10	231,195,197	50,29,40	79	31
70333	67,76,84	122,147,153	125,122,139	59,75,93	82	86
70686	63,85,64	16,27,18	466,379,401	22,28,14	101	15
70694	65,71,51	8,16,14	603,518,489	11,3,5	158	86
71173	32,31,43	292,283,279	94,92,123	219,192,222	20	52
71729	620,736,660	154,138,144	24,20,37	564,636,778	172	86
71914	101,90,94	38,38,35	37,35,32	56,48,51	28	86
72440	12,14,13	4,1,0	1,0,0	22,14,10	118	32
72441	22,27,30	31,21,30	1,1,1	248,230,270	121	35
72571	20,19,14	55,56,60	80,57,65	50,50,57	168	86
73330	153,188,186	69,78,75	244,275,268	437,415,452	148	86
74288	32,24,34	17,18,11	31,25,26	0,0,0	166	80
74329	29,24,27	6,2,4	4,3,7	16,2,13	89	15
75540	14,15,18	9,6,11	31,27,34	0,3,0	172	86
75748	23,36,19	127,115,110	24,21,17	380,419,397	11	68
75762	504,541,598	504,509,505	193,211,263	1211,1200,1280	172	86
76610	36,44,32	436,456,431	257,188,182	245,224,210	160	86
77136	28,40,32	0,2,0	15,10,12	25,32,29	10	86
77177	1548,1423,1538	0,0,1	1,1,1	0,0,0	77	31
77488	294,336,314	207,197,190	469,323,347	104,106,102	110	86
77492	606,614,542	207,197,190	825,584,633	104,106,102	172	86
77630	156,163,174	124,132,126	23,28,20	53,65,101	124	86
78340	13,23,8	0,0,0	1,2,0	41,28,46	72	58
78892	33,34,20	8,7,3	7,5,11	8,13,16	172	86
79268	284,367,236	3,10,10	377,375,313	180,135,120	172	86
79497	2,6,2	1232,1344,1246	20,16,19	781,700,707	4	86
79866	38,31,31	0,0,4	30,24,22	20,27,21	172	86
79888	258,273,239	136,176,134	176,139,136	204,190,202	154	86
80146	11,5,12	1727,1993,1893	38,53,44	1896,1909,1790	4	86
80687	38,26,37	14,18,12	2,2,0	26,27,7	156	76
80688	36,24,31	2,6,5	2,2,0	24,21,25	138	58
81084	383,334,389	636,543,615	673,558,637	485,380,383	159	73
81370	105,70,108	0,3,1	95,103,83	51,39,46	154	86
81381	266,358,279	0,3,1	507,498,456	51,39,46	172	86
81420	7,9,15	16,2,10	95,80,123	5,4,4	172	86
